ID_Tura,VitezaMedie,VitezaMax,VitezaMin,Distanta_km,Durata_s,An,Luna,Zi,Ora,Minut,Secunda
1,17.85,0.16,0.13,0.293,59,2025,5,20,19,30,27
2,13.69,0.12,0.11,0.320,84,2025,5,20,19,35,28
